Gene	Essential	Non-essential	Unclear
nohD	FALSE	TRUE	FALSE
aaaD	FALSE	TRUE	FALSE
tfaD	FALSE	TRUE	FALSE
ybcY	FALSE	TRUE	FALSE
tfaX	FALSE	TRUE	FALSE
appY	FALSE	FALSE	TRUE
ompT	FALSE	TRUE	FALSE
envY	FALSE	TRUE	FALSE
ybcH	FALSE	TRUE	FALSE
nfrA	FALSE	TRUE	FALSE
nfrB	FALSE	TRUE	FALSE
cusS	FALSE	TRUE	FALSE
cusR	FALSE	TRUE	FALSE
cusC	FALSE	TRUE	FALSE
cusF	FALSE	TRUE	FALSE
cusB	FALSE	TRUE	FALSE
cusA	FALSE	TRUE	FALSE
pheP	FALSE	TRUE	FALSE
ybdG	FALSE	TRUE	FALSE
nfsB	FALSE	TRUE	FALSE
ybdF	FALSE	TRUE	FALSE
ybdJ	FALSE	TRUE	FALSE
ybdK	FALSE	TRUE	FALSE
hokE	FALSE	TRUE	FALSE
insL1	FALSE	TRUE	FALSE
entD	FALSE	TRUE	FALSE
fepA	FALSE	TRUE	FALSE
fes	FALSE	TRUE	FALSE
ybdZ	FALSE	TRUE	FALSE
entF	FALSE	TRUE	FALSE
fepE	FALSE	TRUE	FALSE
fepC	FALSE	TRUE	FALSE
fepG	FALSE	TRUE	FALSE
fepD	FALSE	TRUE	FALSE
entS	FALSE	TRUE	FALSE
fepB	FALSE	TRUE	FALSE
entC	FALSE	TRUE	FALSE
entE	FALSE	TRUE	FALSE
entB	FALSE	TRUE	FALSE
entA	FALSE	TRUE	FALSE
entH	FALSE	TRUE	FALSE
cstA	FALSE	TRUE	FALSE
ybdD	FALSE	TRUE	FALSE
ybdH	FALSE	TRUE	FALSE
ybdL	FALSE	TRUE	FALSE
ybdM	FALSE	TRUE	FALSE
ybdN	FALSE	TRUE	FALSE
ybdO	FALSE	TRUE	FALSE
dsbG	FALSE	TRUE	FALSE
ahpC	FALSE	TRUE	FALSE
ahpF	FALSE	TRUE	FALSE
uspG	FALSE	TRUE	FALSE
ybdR	FALSE	TRUE	FALSE
rnk	FALSE	TRUE	FALSE
rna	FALSE	TRUE	FALSE
citT	FALSE	TRUE	FALSE
citG	FALSE	TRUE	FALSE
citX	FALSE	TRUE	FALSE
citF	FALSE	TRUE	FALSE
citE	FALSE	TRUE	FALSE
citD	FALSE	TRUE	FALSE
citC	FALSE	TRUE	FALSE
citA	FALSE	TRUE	FALSE
citB	FALSE	TRUE	FALSE
dcuC	FALSE	TRUE	FALSE
pagP	FALSE	TRUE	FALSE
cspE	FALSE	TRUE	FALSE
flc	FALSE	TRUE	FALSE
ybeM	FALSE	TRUE	FALSE
tatE	FALSE	TRUE	FALSE
lipA	TRUE	FALSE	FALSE
ybeF	FALSE	TRUE	FALSE
lipB	FALSE	TRUE	FALSE
ybeD	TRUE	FALSE	FALSE
dacA	FALSE	TRUE	FALSE
rlpA	FALSE	TRUE	FALSE
mrdB	TRUE	FALSE	FALSE
mrdA	TRUE	FALSE	FALSE
rlmH	FALSE	TRUE	FALSE
rsfS	FALSE	TRUE	FALSE
cobC	FALSE	TRUE	FALSE
nadD	TRUE	FALSE	FALSE
holA	TRUE	FALSE	FALSE
lptE	TRUE	FALSE	FALSE
leuS	TRUE	FALSE	FALSE
ybeL	FALSE	TRUE	FALSE
ybeQ	FALSE	TRUE	FALSE
ybeR	FALSE	TRUE	FALSE
djlB	FALSE	TRUE	FALSE
ybeT	FALSE	TRUE	FALSE
ybeU	FALSE	TRUE	FALSE
djlC	FALSE	TRUE	FALSE
hscC	FALSE	TRUE	FALSE
rihA	FALSE	TRUE	FALSE
gltL	FALSE	TRUE	FALSE
gltK	FALSE	TRUE	FALSE
gltJ	FALSE	TRUE	FALSE
gltI	FALSE	TRUE	FALSE
insH1	FALSE	TRUE	FALSE
lnt	TRUE	FALSE	FALSE
ybeX	FALSE	TRUE	FALSE
ybeY	TRUE	FALSE	FALSE
ybeZ	FALSE	TRUE	FALSE
miaB	FALSE	TRUE	FALSE
ubiF	TRUE	FALSE	FALSE
